product_id,product_name,category,unit_cost
P001,REGENCY CAKESTAND 3 TIER,Tableware,7.01
P002,WHITE HANGING HEART T-LIGHT HOLDER,Decor,1.62
P003,PARTY BUNTING,Party,2.56
P004,LUNCH BAG RED RETROSPOT,Bags,0.91
P005,SET OF 3 CAKE TINS PANTRY DESIGN,Tableware,2.72
P006,PACK OF 72 RETROSPOT CAKE CASES,Party,0.3
P007,SPOTTY BUNTING,Party,2.72
P008,PAPER CHAIN KIT 50S CHRISTMAS,Seasonal,1.62
P009,PAPER CHAIN KIT VINTAGE CHRISTMAS,Seasonal,1.62
P010,JUMBO STORAGE BAG SUKI,Bags,1.07
P011,POPCORN HOLDER,Kitchen,0.47
P012,LUNCH BAG BLACK SKULL,Bags,0.91
P013,SET/20 RED RETROSPOT PAPER NAPKINS,Party,0.47
P014,JUMBO BAG VINTAGE DOILY,Bags,1.07
P015,LUNCH BAG SPACEBOY DESIGN,Bags,0.91
